customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
CUST_00001,112,3,2199.63,3,3,3,9,Potential Loyalists
CUST_00002,284,2,809.9000000000001,1,1,2,4,Lost Customers
CUST_00003,83,2,3030.81,3,1,3,7,Potential Loyalists
CUST_00004,42,1,383.22,4,1,1,6,At Risk
CUST_00005,279,3,2422.73,1,3,3,7,Potential Loyalists
CUST_00006,212,3,1245.83,2,3,2,7,Potential Loyalists
CUST_00007,81,1,1331.55,3,1,2,6,At Risk
CUST_00008,169,3,5602.29,2,3,4,9,Potential Loyalists
CUST_00009,39,1,470.86,4,1,1,6,At Risk
CUST_00010,22,3,1421.16,5,3,2,10,Loyal Customers
CUST_00011,12,7,6328.45,5,5,4,14,Champions
CUST_00012,53,1,794.4,4,1,2,7,Potential Loyalists
CUST_00013,30,2,667.97,5,1,2,8,Potential Loyalists
CUST_00014,170,3,550.5600000000001,2,3,1,6,At Risk
CUST_00015,163,4,17407.51,2,4,5,11,Loyal Customers
CUST_00016,53,10,7775.48,4,5,5,14,Champions
CUST_00017,181,1,903.51,2,1,2,5,At Risk
CUST_00018,8,4,3145.06,5,4,3,12,Loyal Customers
CUST_00019,27,1,673.1,5,1,2,8,Potential Loyalists
CUST_00020,50,2,2577.16,4,1,3,8,Potential Loyalists
CUST_00021,8,3,5200.38,5,3,4,12,Loyal Customers
CUST_00022,65,4,933.56,4,4,2,10,Loyal Customers
CUST_00023,103,1,105.55,3,1,1,5,At Risk
CUST_00024,344,2,333.99,1,1,1,3,Lost Customers
CUST_00025,268,2,1061.66,1,1,2,4,Lost Customers
CUST_00026,276,2,790.61,1,1,2,4,Lost Customers
CUST_00027,30,4,2577.6099999999997,5,4,3,12,Loyal Customers
CUST_00028,128,2,865.42,2,1,2,5,At Risk
CUST_00029,1,8,15296.52,5,5,5,15,Champions
CUST_00030,47,7,19332.920000000002,4,5,5,14,Champions
CUST_00031,17,3,514.58,5,3,1,9,Potential Loyalists
CUST_00032,221,1,45.36,1,1,1,3,Lost Customers
CUST_00033,139,2,415.38,2,1,1,4,Lost Customers
CUST_00034,369,2,6302.3,1,1,4,6,At Risk
CUST_00035,17,2,221.73000000000002,5,1,1,7,Potential Loyalists
CUST_00036,149,3,373.63,2,3,1,6,At Risk
CUST_00037,88,1,3599.4,3,1,4,8,Potential Loyalists
CUST_00038,43,3,1130.59,4,3,2,9,Potential Loyalists
CUST_00039,110,3,3282.2999999999997,3,3,3,9,Potential Loyalists
CUST_00040,60,3,2875.36,4,3,3,10,Loyal Customers
CUST_00041,16,4,5685.5599999999995,5,4,4,13,Champions
CUST_00042,207,2,3605.71,2,1,4,7,Potential Loyalists
CUST_00043,114,2,1279.8000000000002,3,1,2,6,At Risk
CUST_00044,60,2,391.98,4,1,1,6,At Risk
CUST_00045,75,3,7551.92,3,3,5,11,Loyal Customers
CUST_00046,90,2,1887.29,3,1,3,7,Potential Loyalists
CUST_00047,18,2,2974.21,5,1,3,9,Potential Loyalists
CUST_00048,53,4,4436.29,4,4,4,12,Loyal Customers
CUST_00049,134,3,702.35,2,3,2,7,Potential Loyalists
CUST_00050,12,1,247.4,5,1,1,7,Potential Loyalists
CUST_00051,27,2,338.21999999999997,5,1,1,7,Potential Loyalists
CUST_00052,11,4,6802.75,5,4,4,13,Champions
CUST_00053,23,1,208.84,5,1,1,7,Potential Loyalists
CUST_00054,215,1,529.46,1,1,1,3,Lost Customers
CUST_00055,11,3,774.3199999999999,5,3,2,10,Loyal Customers
CUST_00056,32,5,5841.23,4,4,4,12,Loyal Customers
CUST_00057,88,4,1515.3899999999999,3,4,2,9,Potential Loyalists
CUST_00058,60,6,4964.26,4,5,4,13,Champions
CUST_00059,31,4,3890.71,4,4,4,12,Loyal Customers
CUST_00060,219,1,1172.8,1,1,2,4,Lost Customers
CUST_00061,44,3,1242.8,4,3,2,9,Potential Loyalists
CUST_00062,94,4,5638.85,3,4,4,11,Loyal Customers
CUST_00063,26,3,2960.14,5,3,3,11,Loyal Customers
CUST_00064,49,1,732.09,4,1,2,7,Potential Loyalists
CUST_00065,16,2,2971.2200000000003,5,1,3,9,Potential Loyalists
CUST_00066,191,1,3552.78,2,1,4,7,Potential Loyalists
CUST_00067,64,5,1488.3700000000001,4,4,2,10,Loyal Customers
CUST_00068,48,1,122.67,4,1,1,6,At Risk
CUST_00069,172,2,2560.76,2,1,3,6,At Risk
CUST_00070,145,3,1276.27,2,3,2,7,Potential Loyalists
CUST_00071,60,4,2052.29,4,4,3,11,Loyal Customers
CUST_00072,31,7,5370.1,4,5,4,13,Champions
CUST_00073,241,1,224.75,1,1,1,3,Lost Customers
CUST_00074,50,7,9628.380000000001,4,5,5,14,Champions
CUST_00075,132,3,9552.539999999999,2,3,5,10,Loyal Customers
CUST_00076,45,5,21055.71,4,4,5,13,Champions
CUST_00077,9,4,1282.79,5,4,2,11,Loyal Customers
CUST_00078,204,3,299.29,2,3,1,6,At Risk
CUST_00079,221,3,2644.09,1,3,3,7,Potential Loyalists
CUST_00080,139,5,703.8,2,4,2,8,Potential Loyalists
CUST_00081,145,1,1985.21,2,1,3,6,At Risk
CUST_00082,97,5,3602.9900000000002,3,4,4,11,Loyal Customers
CUST_00083,167,1,510.39,2,1,1,4,Lost Customers
CUST_00084,86,6,2703.68,3,5,3,11,Loyal Customers
CUST_00085,197,2,933.0300000000001,2,1,2,5,At Risk
CUST_00086,370,2,2238.3,1,1,3,5,At Risk
CUST_00087,154,5,1283.77,2,4,2,8,Potential Loyalists
CUST_00088,86,5,1563.12,3,4,2,9,Potential Loyalists
CUST_00089,87,9,14986.29,3,5,5,13,Champions
CUST_00090,163,4,3776.86,2,4,4,10,Loyal Customers
CUST_00091,147,4,582.1700000000001,2,4,1,7,Potential Loyalists
CUST_00092,16,10,8608.02,5,5,5,15,Champions
CUST_00093,136,2,6583.81,2,1,4,7,Potential Loyalists
CUST_00094,225,1,426.73,1,1,1,3,Lost Customers
CUST_00095,191,3,593.19,2,3,1,6,At Risk
CUST_00096,8,3,467.69,5,3,1,9,Potential Loyalists
CUST_00097,39,1,481.84,4,1,1,6,At Risk
CUST_00098,101,2,2463.56,3,1,3,7,Potential Loyalists
CUST_00099,32,4,18407.65,4,4,5,13,Champions
CUST_00100,86,1,405.46,3,1,1,5,At Risk
CUST_00101,133,5,14130.9,2,4,5,11,Loyal Customers
CUST_00102,94,3,3300.2200000000003,3,3,3,9,Potential Loyalists
CUST_00103,116,5,3956.62,3,4,4,11,Loyal Customers
CUST_00104,36,6,2906.6,4,5,3,12,Loyal Customers
CUST_00105,46,2,1380.1000000000001,4,1,2,7,Potential Loyalists
CUST_00106,17,3,9962.97,5,3,5,13,Champions
CUST_00107,251,3,3083.11,1,3,3,7,Potential Loyalists
CUST_00108,44,2,9111.15,4,1,5,10,Loyal Customers
CUST_00109,48,6,2921.8199999999997,4,5,3,12,Loyal Customers
CUST_00110,243,2,562.8,1,1,1,3,Lost Customers
CUST_00111,99,5,5355.2300000000005,3,4,4,11,Loyal Customers
CUST_00112,9,5,5338.15,5,4,4,13,Champions
CUST_00113,66,3,6708.43,4,3,4,11,Loyal Customers
CUST_00114,96,2,226.3,3,1,1,5,At Risk
CUST_00115,57,5,5358.67,4,4,4,12,Loyal Customers
CUST_00116,196,2,396.59,2,1,1,4,Lost Customers
CUST_00117,408,2,1997.66,1,1,3,5,At Risk
CUST_00118,196,2,1258.27,2,1,2,5,At Risk
CUST_00119,163,2,822.8799999999999,2,1,2,5,At Risk
CUST_00120,59,2,1048.33,4,1,2,7,Potential Loyalists
CUST_00121,156,2,1275.3999999999999,2,1,2,5,At Risk
